id,brand,name,make,model,battery_kwh,range_km,price_range,charging_time,power_hp,seats,top_speed_kmh,fast_charging_power_kw_dc,fast_charge_port,car_body_type,drivetrain,efficiency_wh_per_km,source_url,is_ev
bmw-i5,BMW,BMW i5,BMW,i5,81.2,516.0,"Rp 2,225 - 2,83 Milyar",30 Menit,340 - 601 hp,5,230.0,136.0,CCS,Sedan,AWD,172.0,https://www.oto.com/mobil-baru/bmw/i5,True
kia-ev9,Kia,Kia EV9,Kia,EV9,99.8,497.0,"Rp 1,568 - 1,985 Milyar",24 Menit,380 hp,7,190.0,160.0,CCS,SUV,RWD,165.0,https://www.oto.com/mobil-baru/kia/ev9,True
lexus-ux,Lexus,Lexus UX,Lexus,UX,54.35,300.0,"Rp 26,6 - 31,6 Juta",80 Menit,181 - 201 hp,5,160.0,35.0,CHAdeMO,SUV,FWD,145.0,https://www.oto.com/mobil-baru/lexus/ux,True
mercedes-benz-eqs,Mercedes,Mercedes Benz EQS,Mercedes,Benz EQS,107.8,770.0,"Rp 3,135 - 4,11 Milyar",31 Menit,333 hp,5,,,,,,,https://www.oto.com/mobil-baru/mercedes-benz/eqs,True
nissan-leaf,Nissan,Nissan Leaf,Nissan,Leaf,40.0,311.0,Rp 740 Juta,60 Menit,148 hp,5,,,,,,,https://www.oto.com/mobil-baru/nissan/leaf,True
gwm-ora-03-bev,Gwm,GWM Ora 03 BEV,Gwm,Ora 03 BEV,47.7,400.0,Rp 379 Juta,45 Menit,104 hp,5,,,,,,,https://www.oto.com/mobil-baru/gwm/ora-03-bev,True
bmw-ix,BMW,BMW iX,BMW,iX,76.6,372.0,"Rp 2,628 Milyar",35 Menit,408 hp,5,250.0,150.0,CCS,SUV,AWD,209.0,https://www.oto.com/mobil-baru/bmw/ix,True
honda-e-n1,Honda,Honda e:N1,Honda,e:N1,68.8,412.0,"Rp 26,6 - 31,6 Juta",45 Menit,201 hp,5,160.0,60.0,CCS,SUV,FWD,150.0,https://www.oto.com/mobil-baru/honda/en1,True
toyota-bz4x,Toyota,Toyota bZ4X,Toyota,bZ4X,71.4,500.0,"Rp 1,19 Milyar",30 Menit,201 hp,5,160.0,100.0,CCS,SUV,AWD,154.0,https://www.oto.com/mobil-baru/toyota/bz4x,True
bmw-i7,BMW,BMW i7,BMW,i7,101.7,625.0,"Rp 3,415 Milyar",34 Menit,544 hp,5,250.0,159.0,CCS,Sedan,AWD,208.0,https://www.oto.com/mobil-baru/bmw/i7,True
bmw-ix1,BMW,BMW iX1,BMW,iX1,64.7,438.0,"Rp 1,379 Milyar",29 Menit,313 hp,5,170.0,94.0,CCS,SUV,FWD,150.0,https://www.oto.com/mobil-baru/bmw/ix1,True
bmw-i5-touring,BMW,BMW i5 Touring,BMW,i5 Touring,81.2,506.0,"Rp 2,275 Milyar",30 Menit,340 hp,5,,,,,,,https://www.oto.com/mobil-baru/bmw/i5-touring,True
mitsubishi-l100-ev,Mitsubishi,Mitsubishi L100 EV,Mitsubishi,L100 EV,20.1,180.0,"Rp 323,3 Juta",42 Menit,41 hp,2,,,,,,,https://www.oto.com/mobil-baru/mitsubishi/l100-ev,True
volvo-ex30,Volvo,Volvo EX30,Volvo,EX30,49.0,476.0,"Rp 930 Juta - 1,1 Milyar",26 Menit,272 hp,5,180.0,114.0,CCS,SUV,AWD,152.0,https://www.oto.com/mobil-baru/volvo/ex30,True
vinfast-vf-7,VinFast,VinFast VF 7,VinFast,VF 7,75.3,431.0,Rp 499 - 599 Juta,28 Menit,201 - 348 hp,5,,,,,,,https://www.oto.com/mobil-baru/vinfast/vf-7,True
hyundai-ioniq-5-n,Hyundai,Hyundai Ioniq 5 N,Hyundai,Ioniq 5 N,84.0,448.0,"Rp 1,5 Milyar",18 Menit,641 hp,5,260.0,205.0,CCS,SUV,AWD,179.0,https://www.oto.com/mobil-baru/hyundai/ioniq-5-n,True
